sic,knowDepr,organDepr,gamma,industry5
3089,.34,.2,.24,2
5812,.33,.2,.2,1
5712,.33,.2,.2,1
5080,.33,.2,.2,1
3724,.34,.2,.24,2
2711,.33,.2,.2,1
3652,.33,.2,.2,1
3577,.45,.2,.45,3
3460,.34,.2,.24,2
3743,.34,.2,.24,2
4841,.33,.2,.2,1
3357,.34,.2,.24,2
3661,.45,.2,.45,3
6512,.23,.2,.35,5
3678,.45,.2,.45,3
3585,.34,.2,.24,2
3812,.45,.2,.45,3
3861,.34,.2,.24,2
7380,.23,.2,.35,5
3211,.34,.2,.24,2
3714,.33,.2,.2,1
5045,.33,.2,.2,1
4522,.23,.2,.35,5
5040,.33,.2,.2,1
8062,.33,.2,.2,1
7385,.23,.2,.35,5
6794,.23,.2,.35,5
7990,.23,.2,.35,5
3990,.33,.2,.2,1
2030,.33,.2,.2,1
2834,.33,.2,.5,4
3443,.34,.2,.24,2
3663,.45,.2,.45,3
7830,.23,.2,.35,5
2300,.33,.2,.2,1
3949,.33,.2,.2,1
3612,.34,.2,.24,2
4512,.23,.2,.35,5
7372,.45,.2,.45,3
8711,.23,.2,.35,5
3564,.34,.2,.24,2
6798,.23,.2,.35,5
7373,.45,.2,.45,3
3571,.45,.2,.45,3
3825,.45,.2,.45,3
5010,.33,.2,.2,1
3823,.45,.2,.45,3
6799,.23,.2,.35,5
5900,.33,.2,.2,1
4832,.33,.2,.2,1
8741,.23,.2,.35,5
7389,.23,.2,.35,5
3578,.45,.2,.45,3
3670,.45,.2,.45,3
3523,.34,.2,.24,2
4911,.34,.2,.24,2
7359,.23,.2,.35,5
5311,.33,.2,.2,1
6792,.23,.2,.35,5
2621,.34,.2,.24,2
8700,.23,.2,.35,5
5600,.33,.2,.2,1
4955,.23,.2,.35,5
1311,.34,.2,.24,2
3690,.45,.2,.45,3
2780,.33,.2,.2,1
1389,.34,.2,.24,2
5160,.33,.2,.2,1
4833,.33,.2,.2,1
6500,.23,.2,.35,5
6351,.23,.2,.35,5
3420,.34,.2,.24,2
3060,.34,.2,.24,2
3559,.34,.2,.24,2
3433,.34,.2,.24,2
5020,.33,.2,.2,1
3944,.33,.2,.2,1
7310,.23,.2,.35,5
3844,.33,.2,.5,4
3442,.34,.2,.24,2
5912,.33,.2,.2,1
6726,.23,.2,.35,5
2250,.33,.2,.2,1
5172,.33,.2,.2,1
3679,.45,.2,.45,3
2731,.33,.2,.2,1
7363,.23,.2,.35,5
3572,.45,.2,.45,3
3672,.45,.2,.45,3
6099,.23,.2,.35,5
3412,.34,.2,.24,2
4953,.23,.2,.35,5
1381,.34,.2,.24,2
7812,.23,.2,.35,5
3651,.33,.2,.2,1
2750,.34,.2,.24,2
6211,.23,.2,.35,5
3730,.34,.2,.24,2
3842,.33,.2,.5,4
5084,.33,.2,.2,1
3728,.34,.2,.24,2
3674,.45,.2,.45,3
4813,.33,.2,.2,1
9995,.23,.2,.35,5
2890,.34,.2,.24,2
5047,.33,.2,.2,1
6324,.23,.2,.35,5
6020,.23,.2,.35,5
6552,.23,.2,.35,5
4899,.45,.2,.45,3
1040,.23,.2,.35,5
6035,.23,.2,.35,5
5013,.33,.2,.2,1
2253,.33,.2,.2,1
200,.33,.2,.2,1
3537,.34,.2,.24,2
4731,.23,.2,.35,5
2810,.34,.2,.24,2
4513,.23,.2,.35,5
3560,.34,.2,.24,2
2820,.34,.2,.24,2
1220,.34,.2,.24,2
7350,.23,.2,.35,5
1600,.23,.2,.35,5
3841,.33,.2,.5,4
2221,.33,.2,.2,1
2844,.34,.2,.24,2
5411,.33,.2,.2,1
3350,.34,.2,.24,2
2870,.34,.2,.24,2
5122,.33,.2,.2,1
2273,.33,.2,.2,1
5190,.33,.2,.2,1
6411,.23,.2,.35,5
4400,.23,.2,.35,5
2836,.33,.2,.5,4
3451,.34,.2,.24,2
3312,.34,.2,.24,2
100,.33,.2,.2,1
3440,.34,.2,.24,2
7000,.23,.2,.35,5
6331,.23,.2,.35,5
3452,.34,.2,.24,2
2390,.33,.2,.2,1
3576,.45,.2,.45,3
3011,.34,.2,.24,2
5700,.33,.2,.2,1
3716,.33,.2,.2,1
2040,.33,.2,.2,1
7340,.23,.2,.35,5
8082,.33,.2,.2,1
3540,.34,.2,.24,2
7381,.23,.2,.35,5
4213,.23,.2,.35,5
3310,.34,.2,.24,2
7500,.23,.2,.35,5
7311,.23,.2,.35,5
4812,.33,.2,.2,1
2080,.33,.2,.2,1
3640,.33,.2,.2,1
3555,.34,.2,.24,2
6513,.23,.2,.35,5
8011,.33,.2,.2,1
2600,.34,.2,.24,2
6722,.23,.2,.35,5
2060,.33,.2,.2,1
3334,.34,.2,.24,2
4922,.34,.2,.24,2
1731,.23,.2,.35,5
