sic,knowDepr,organDepr,gamma,industry5
3089,.5,.2,.21,"Manuf."
5812,.43,.2,.2,"Consumer"
5712,.43,.2,.2,"Consumer"
5080,.43,.2,.2,"Consumer"
3724,.5,.2,.21,"Manuf."
2711,.43,.2,.2,"Consumer"
3652,.43,.2,.2,"Consumer"
3577,.42,.2,.37,"High-tech"
3460,.5,.2,.21,"Manuf."
3743,.5,.2,.21,"Manuf."
4841,.43,.2,.2,"Consumer"
3357,.5,.2,.21,"Manuf."
3661,.42,.2,.37,"High-tech"
6512,.35,.2,.22,"Other"
3678,.42,.2,.37,"High-tech"
3585,.5,.2,.21,"Manuf."
3812,.42,.2,.37,"High-tech"
3861,.5,.2,.21,"Manuf."
7380,.35,.2,.22,"Other"
3211,.5,.2,.21,"Manuf."
3714,.43,.2,.2,"Consumer"
5045,.43,.2,.2,"Consumer"
4522,.35,.2,.22,"Other"
5040,.43,.2,.2,"Consumer"
8062,.43,.2,.2,"Consumer"
7385,.35,.2,.22,"Other"
6794,.35,.2,.22,"Other"
7990,.35,.2,.22,"Other"
3990,.43,.2,.2,"Consumer"
2030,.43,.2,.2,"Consumer"
2834,.33,.2,.51,"Health"
3443,.5,.2,.21,"Manuf."
3663,.42,.2,.37,"High-tech"
7830,.35,.2,.22,"Other"
2300,.43,.2,.2,"Consumer"
3949,.43,.2,.2,"Consumer"
3612,.5,.2,.21,"Manuf."
4512,.35,.2,.22,"Other"
7372,.42,.2,.37,"High-tech"
8711,.35,.2,.22,"Other"
3564,.5,.2,.21,"Manuf."
6798,.35,.2,.22,"Other"
7373,.42,.2,.37,"High-tech"
3571,.42,.2,.37,"High-tech"
3825,.42,.2,.37,"High-tech"
5010,.43,.2,.2,"Consumer"
3823,.42,.2,.37,"High-tech"
6799,.35,.2,.22,"Other"
5900,.43,.2,.2,"Consumer"
4832,.43,.2,.2,"Consumer"
8741,.35,.2,.22,"Other"
7389,.35,.2,.22,"Other"
3578,.42,.2,.37,"High-tech"
3670,.42,.2,.37,"High-tech"
3523,.5,.2,.21,"Manuf."
4911,.5,.2,.21,"Manuf."
7359,.35,.2,.22,"Other"
5311,.43,.2,.2,"Consumer"
6792,.35,.2,.22,"Other"
2621,.5,.2,.21,"Manuf."
8700,.35,.2,.22,"Other"
5600,.43,.2,.2,"Consumer"
4955,.35,.2,.22,"Other"
1311,.5,.2,.21,"Manuf."
3690,.42,.2,.37,"High-tech"
2780,.43,.2,.2,"Consumer"
1389,.5,.2,.21,"Manuf."
5160,.43,.2,.2,"Consumer"
4833,.43,.2,.2,"Consumer"
6500,.35,.2,.22,"Other"
6351,.35,.2,.22,"Other"
3420,.5,.2,.21,"Manuf."
3060,.5,.2,.21,"Manuf."
3559,.5,.2,.21,"Manuf."
3433,.5,.2,.21,"Manuf."
5020,.43,.2,.2,"Consumer"
3944,.43,.2,.2,"Consumer"
7310,.35,.2,.22,"Other"
3844,.33,.2,.51,"Health"
3442,.5,.2,.21,"Manuf."
5912,.43,.2,.2,"Consumer"
6726,.35,.2,.22,"Other"
2250,.43,.2,.2,"Consumer"
5172,.43,.2,.2,"Consumer"
3679,.42,.2,.37,"High-tech"
2731,.43,.2,.2,"Consumer"
7363,.35,.2,.22,"Other"
3572,.42,.2,.37,"High-tech"
3672,.42,.2,.37,"High-tech"
6099,.35,.2,.22,"Other"
3412,.5,.2,.21,"Manuf."
4953,.35,.2,.22,"Other"
1381,.5,.2,.21,"Manuf."
7812,.35,.2,.22,"Other"
3651,.43,.2,.2,"Consumer"
2750,.5,.2,.21,"Manuf."
